"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"MMM","3M Company","Industrials",177.12,4.48,7.78,19.34,134,177.79,107.43
"ABT","Abbott Laboratories","Health Care",41.89,1.07,1.62,14.1,36,51.74,61.54
"ABBV","AbbVie","Health Care",64.16,2.31,3.33,2.87,45.45,71.6,103.77
"ACN","Accenture plc","Information Technology",115.11,2.23,5.92,11.45,88.43,120.78,71.66
"ATVI","Activision Blizzard","Information Technology",41.29,0.26,1.11,11.31,24.04,41.32,30.48
"AYI","Acuity Brands Inc","Industrials",264.62,0.56,6.12,36.5,168.33,265.1,11.51
"ADBE","Adobe Systems Inc","Information Technology",96.79,- 0,1.77,14.53,71.27,100.56,48.23
"AAP","Advance Auto Parts","Consumer Discretionary",164.85,0.25,6.4,35.82,131.59,201.24,12.1
"AES","AES Corp","Utilities",12.32,0.44,0.43,4.86,8.22,13.38,8.12
"AET","Aetna Inc","Health Care",117,1.02,6.64,47.96,92.42,125.47,41.02
"AMG","Affiliated Managers Group Inc","Financials",138.85,- 0,8.93,53.3,115.97,220.72,7.47
"AFL","AFLAC Inc","Financials",72.49,1.65,6.07,48.22,51.41,72.81,30.01
"A","Agilent Technologies Inc","Health Care",45.48,0.47,1.38,12.79,33.12,46.68,14.8
"APD","Air Products & Chemicals Inc","Materials",144.35,3.55,2.53,32.01,114.64,152.16,31.19
"AKAM","Akamai Technologies Inc","Information Technology",56.38,- 0,1.77,17.69,39.43,76.98,9.9
"ALK","Alaska Air Group Inc","Industrials",59.86,1.13,6.92,19.81,54.51,87.17,7.38
"ALB","Albemarle Corp","Materials",83.58,1.31,4.61,31.53,41.37,84.99,9.39
"AA","Alcoa Inc","Materials",9.82,0.13,-0.44,9.25,6.14,11.5,12.91
"ALXN","Alexion Pharmaceuticals","Health Care",124.42,- 0,0.66,35.96,110.56,208.88,27.87
"ALLE","Allegion","Industrials",69.74,0.49,1.72,0.77,52.95,69.95,6.68
"AGN","Allergan plc","Health Care",240.59,0.24,11.18,183.41,195.5,340.34,95.17
"ADS","Alliance Data Systems","Information Technology",200.96,- 0,8.87,29.51,176.63,307.78,11.84
"LNT","Alliant Energy Corp","Utilities",40.55,1.29,3.34,16.58,27.14,40.99,9.21
"ALL","Allstate Corp","Financials",69.66,1.36,4.1,49.58,54.12,69.95,26.08
"GOOGL","Alphabet Inc Class A","Information Technology",717.78,- 0,24.58,179.92,558.7,810.35,492.8
"GOOG","Alphabet Inc Class C","Information Technology",705.63,- 0,24.58,179.92,532.4,789.87,484.45
"MO","Altria Group Inc","Consumer Staples",69.83,2.28,2.77,1.4,47.41,70.15,136.59
"AMZN","Amazon.com Inc","Consumer Discretionary",745.81,- 0,2.43,31.26,447.54,746.1,351.89
"AEE","Ameren Corp","Utilities",53.15,1.68,2.58,28.31,37.92,54.08,12.9
"AAL","American Airlines Group","Industrials",30.04,0.42,11.16,8.04,24.85,47.09,17.37
"AEP","American Electric Power","Utilities",70.71,2.22,3.9,36.9,52.29,71.32,34.74
"AXP","American Express Co","Financials",61.49,1.20,5.01,21.8,50.27,81.66,58.48
"AIG","American International Group, Inc.","Financials",53.01,1.33,-0.37,78.28,48.41,64.93,59.32
"AMT","American Tower Corp A","Financials",113.66,2.01,1.54,16.33,83.07,114.5,48.26
"AWK","American Water Works Company Inc","Utilities",83.36,1.38,2.66,28.59,50.16,85.24,14.81
"AMP","Ameriprise Financial","Financials",90.84,3.12,8.49,42.52,76,129.22,15.06
"ABC","AmerisourceBergen Corp","Health Care",81.92,1.38,6.84,9.78,73.31,115.41,17.68
"AME","Ametek","Industrials",45.84,0.36,2.43,14.12,42.82,57.67,10.7
"AMGN","Amgen Inc","Health Care",161.1,4.11,9.45,38.18,130.09,181.81,121.02
"APH","Amphenol Corp A","Industrials",57.36,0.58,2.34,11.01,44.5,60.17,17.66
"APC","Anadarko Petroleum Corp","Energy",55.91,0.20,-8.77,22.9,28.16,78.59,28.54
"ADI","Analog Devices, Inc.","Information Technology",57.74,1.73,2.06,15.86,47.24,64.16,17.75
"ANTM","Anthem Inc.","Health Care",132.15,2.66,8.89,89.59,115.63,161.8,34.75
"AON","Aon plc","Financials",109.57,1.33,4.89,19.94,83.83,110.17,29.03
"APA","Apache Corporation","Energy",55.17,1.00,-50.15,5.33,32.2,59.59,20.88
"AIV","Apartment Investment & Mgmt","Financials",45.54,1.34,1.09,9.22,34.71,45.67,7.13
"AAPL","Apple Inc.","Information Technology",96.68,2.28,8.98,23.81,89.47,132.97,529.56
"AMAT","Applied Materials Inc","Information Technology",24.93,0.41,1.08,6.03,14.25,24.97,27.15
"ADM","Archer-Daniels-Midland Co","Consumer Staples",43.48,1.24,2.61,30.49,29.86,49.5,25.55
"AJG","Arthur J. Gallagher & Co.","Financials",48.7,1.54,2.17,20.31,35.96,48.76,8.63
"AIZ","Assurant Inc","Financials",86.43,2.05,4.59,72.87,64.36,89.22,5.35
"T","AT&T Inc","Telecommunications Services",42.61,1.90,2.36,20.05,30.97,43.89,262.31
"ADSK","Autodesk Inc","Information Technology",55.14,- 0,-2.32,6.39,41.6,65.78,12.39
"ADP","Automatic Data Processing","Information Technology",94.47,2.14,3.34,9.87,64.29,94.59,43.03
"AN","AutoNation Inc","Consumer Discretionary",50.77,- 0,3.82,20.28,40.45,66.63,5.23
"AZO","AutoZone Inc","Consumer Discretionary",815.02,- 0,39.36,-63.16,667,815.45,23.82
"AVGO","Avago Technologies","Information Technology",155.14,2.05,-0.69,49.9,100,166,61.36
"AVB","AvalonBay Communities, Inc.","Financials",184.94,5.53,5.69,71.79,159.3,192.29,25.37
"AVY","Avery Dennison Corp","Materials",73.3,1.66,3.14,10.85,53.56,77.38,6.54
"BHI","Baker Hughes Inc","Energy",43.69,0.68,-5.37,34.98,37.58,61.7,19.13
"BLL","Ball Corp","Materials",71.62,0.53,0.93,7.54,57.95,76.69,10.15
"BAC","Bank of America Corp","Financials",13.17,0.21,1.27,23.12,10.99,18.48,138.5
"BCR","Bard (C.R.) Inc.","Health Care",239,1.05,1.48,19.91,172.21,239.34,17.52
"BAX","Baxter International Inc.","Health Care",46.65,0.53,7.13,16.36,32.18,46.95,25.76
"BBT","BB&T Corporation","Financials",35.22,1.14,2.56,32.14,29.95,41.9,27.56
"BDX","Becton Dickinson","Health Care",175.64,2.69,3.74,36.13,128.87,176.24,37.27
"BBBY","Bed Bath & Beyond","Consumer Discretionary",44.46,0.51,5.1,16.74,41.15,69.69,6.72
"BRK-B","Berkshire Hathaway","Financials",143.65,- 0,9.94,157329,123.55,148.03,0.23602
"BBY","Best Buy Co. Inc.","Consumer Discretionary",30.95,1.13,2.56,13.66,25.31,39.1,9.99
"BIIB","BIOGEN IDEC Inc.","Health Care",251.3,- 0,16.27,47.14,223.02,412.24,55.05
"BLK","BlackRock","Financials",345.2,9.42,18.88,171.9,275,369.33,57.02
"HRB","Block H&R","Financials",23.59,0.89,1.49,0.1,19.18,37.53,5.2
"BA","Boeing Company","Industrials",130.09,4.46,7.4,6.32,102.1,150.59,82.87
"BWA","BorgWarner","Consumer Discretionary",30.57,0.54,2.66,16.97,27.52,54.91,6.65
"BXP","Boston Properties","Financials",133.32,2.64,3.79,36.13,94.91,133.62,20.48
"BSX","Boston Scientific","Health Care",23.9,- 0,-0.03,4.77,14.18,23.97,32.43
"BMY","Bristol-Myers Squibb","Health Care",75.28,1.55,0.93,8.62,51.82,75.72,125.67
"BF-B","Brown-Forman Corporation","Consumer Staples",98.27,1.57,3.31,7.9,90.02,111.06,19.35
"CHRW","C. H. Robinson Worldwide","Industrials",74.43,1.76,3.61,8.33,59.71,76.1,10.63
"CA","CA, Inc.","Information Technology",33.77,1.08,1.81,13.03,25.16,33.8,14.07
"COG","Cabot Oil & Gas","Energy",25.44,0.08,-0.5,6.33,14.88,30.38,11.83
"CPB","Campbell Soup","Consumer Staples",67.1,1.25,2.21,5.42,45.23,67.89,20.71
"COF","Capital One Financial","Financials",64.71,1.68,6.9,91.13,58.03,92.1,33.88
"CAH","Cardinal Health Inc.","Health Care",80.38,1.82,4.18,20.59,73.25,91.23,26.19
"KMX","Carmax Inc","Consumer Discretionary",52.67,- 0,3.06,15.44,41.25,68.99,10.08
"CCL","Carnival Corp.","Consumer Discretionary",44.52,1.42,2.9,30.59,40.52,55.77,33.17
"CAT","Caterpillar Inc.","Industrials",77.37,3.17,1.9,26.85,56.36,84.89,45.17
"CBG","CBRE Group","Financials",26.2,- 0,1.59,8.44,22.74,38.76,8.75
"CBS","CBS Corp.","Consumer Discretionary",57.08,0.61,3.12,12.08,38.51,57.89,25.86
"CELG","Celgene Corp.","Health Care",105.03,- 0,2.06,6.55,92.98,140.72,81.36
"CNC","Centene Corporation","Health Care",70.93,- 0,2.22,31.08,47.36,75.69,12.09
"CNP","CenterPoint Energy","Utilities",23.9,1.05,-1.55,8.14,16.05,24.2,10.29
"CTL","CenturyLink Inc","Telecommunications Services",30.22,2.21,1.68,25.7,21.94,32.94,16.5
"CERN","Cerner","Health Care",60.62,- 0,1.65,11.59,49.59,75,20.49
"CF","CF Industries Holdings Inc","Materials",24.86,1.27,2.11,17.34,22.75,70.32,5.79
"SCHW","Charles Schwab Corporation","Financials",25.73,0.29,1.1,9.33,21.51,35.72,34.01
"CHK","Chesapeake Energy","Energy",4.24,- 0,-33.88,-2.56,1.5,11.69,2.86
"CVX","Chevron Corp.","Energy",104.77,4.35,0.69,79.75,69.58,105,197.46
"CMG","Chipotle Mexican Grill","Consumer Discretionary",399.71,- 0,10.51,52.48,384.77,758.61,11.67
"CB","Chubb Limited","Financials",130.24,- 0,7.23,98.86,96,131,60.49
"CHD","Church & Dwight","Consumer Staples",101.3,1.42,3.13,14.98,76.85,107.36,13
"CI","CIGNA Corp.","Health Care",129.6,0.04,8,49.44,121.87,158,33.24
"XEC","Cimarex Energy","Energy",118.43,0.32,-23.01,27.57,72.77,124.91,11.23
"CINF","Cincinnati Financial","Financials",75.7,1.94,4.19,40.97,49.72,75.77,12.45
"CTAS","Cintas Corporation","Industrials",99.63,1.06,5.91,18.21,78,99.78,10.66
"CSCO","Cisco Systems","Information Technology",29.26,1.06,2.02,12.39,22.46,29.49,147.17
"C","Citigroup Inc.","Financials",41.98,0.19,5,71.47,34.52,60.95,123.21
"CFG","Citizens Financial Group","Financials",19.85,0.50,1.58,37.28,18.04,28.18,10.5
"CTXS","Citrix Systems","Information Technology",83.54,- 0,2.36,13.38,60.91,90,12.96
"CME","CME Group Inc.","Financials",98.9,2.42,3.8,61.8,81.87,100.87,33.49
"CMS","CMS Energy","Utilities",45.51,1.22,1.75,14.72,31.86,46.25,12.7
"COH","Coach Inc.","Consumer Discretionary",41.56,1.40,1.4,9.45,27.22,42.13,11.55
"CTSH","Cognizant Technology Solutions","Information Technology",57.93,- 0,2.75,15.86,51.22,69.8,35.1
"CL","Colgate-Palmolive","Consumer Staples",74.25,1.58,1.52,-0.41,50.84,74.27,66.31
"CMCSA","Comcast A Corp","Consumer Discretionary",67.11,1.19,3.3,21.69,50,67.18,162.89
"CMA","Comerica Inc.","Financials",41.5,0.92,2.46,43.65,30.48,50.76,7.27
"CAG","ConAgra Foods Inc.","Consumer Staples",48.3,1.02,-1.56,8.67,37.97,48.81,21.15
"CXO","Concho Resources","Energy",118.39,- 0,-7.79,47.25,69.94,130.03,15.43
"COP","ConocoPhillips","Energy",42.3,1.90,-4.98,31.56,31.05,59.74,52.38
"ED","Consolidated Edison","Utilities",80.38,2.64,3.84,44.87,60.08,81.88,23.63
"STZ","Constellation Brands","Consumer Staples",165.99,1.61,5.55,0,114.49,167.91,
"GLW","Corning Inc.","Industrials",20.91,0.59,0.4,14.53,15.42,21.3,22.49
"COST","Costco Co.","Consumer Staples",165.44,1.90,5.22,26.25,117.03,169.73,72.47
"CCI","Crown Castle International Corp.","Financials",102.2,4.01,4.19,21.41,75.71,102.82,34.15
"CSRA","CSRA Inc.","Information Technology",24.01,0.41,0.53,0.4,20.98,33.44,3.92
"CSX","CSX Corp.","Industrials",26.53,0.73,1.92,12.13,21.33,33.1,25.36
"CMI","Cummins Inc.","Industrials",114.7,4.05,7.57,40.8,79.88,131.28,19.45
"CVS","CVS Health","Consumer Staples",96.74,1.71,4.6,33.33,81.37,113.65,103.9
"DHI","D. R. Horton","Consumer Discretionary",33.82,0.37,2.18,16.85,22.97,33.97,12.54
"DHR","Danaher Corp.","Industrials",80.86,0.64,5.05,35.59,77.34,102.79,55.69
"DRI","Darden Restaurants","Consumer Discretionary",62.03,2.23,2.63,15.44,53.38,75.6,7.84
"DVA","DaVita Inc.","Health Care",78.07,- 0,2.23,22.79,61.36,81.89,16.12
"DE","Deere & Co.","Industrials",80.97,2.32,4.98,22.8,70.16,97.56,25.45
"DLPH","Delphi Automotive","Consumer Discretionary",64.85,1.23,5.88,8.28,55.59,88.89,17.7
"DAL","Delta Air Lines","Industrials",37.37,0.57,5.97,14.54,32.6,52.77,28.92
"XRAY","Dentsply Sirona","Health Care",63.39,0.32,2.06,35.79,49.48,65.83,14.85
"DVN","Devon Energy Corp.","Energy",37.58,0.24,-32.82,12.23,18.07,56.47,19.69
"DO","Diamond Offshore Drilling","Energy",24.5,- 0,0.5,30.58,14.18,26.72,3.36
"DLR","Digital Realty Trust","Financials",110.24,3.46,1.09,21.23,60.66,113.21,16.19
"DFS","Discover Financial Services","Financials",54.98,1.17,5.2,25.97,42.86,59.88,22.66
"DISCA","Discovery Communications-A","Consumer Discretionary",25.62,- 0,1.63,8.64,23.66,34.94,10.98
